"","date","btc_price"
"288",2015-01-12,267.79599
"289",2015-01-13,225.860992
"290",2015-01-14,178.102997
"291",2015-01-15,209.843994
"292",2015-01-16,208.097
"293",2015-01-17,199.259995
"294",2015-01-18,210.339005
"295",2015-01-19,214.860992
"296",2015-01-20,211.315002
"297",2015-01-21,226.897003
"298",2015-01-22,233.406006
"299",2015-01-23,232.878998
"300",2015-01-24,247.847
"301",2015-01-25,253.718002
"302",2015-01-26,273.472992
"303",2015-01-27,263.475006
"304",2015-01-28,233.914993
"305",2015-01-29,233.513
"306",2015-01-30,226.425003
"307",2015-01-31,217.464005
"308",2015-02-01,226.972
"309",2015-02-02,238.229004
"310",2015-02-03,227.268005
"311",2015-02-04,226.852997
"312",2015-02-05,217.110992
"313",2015-02-06,222.266006
"314",2015-02-07,227.753998
"315",2015-02-08,223.412003
"316",2015-02-09,220.110001
"317",2015-02-10,219.839005
"318",2015-02-11,219.184998
"319",2015-02-12,221.764008
"320",2015-02-13,235.427002
"321",2015-02-14,257.321014
"322",2015-02-15,234.824997
"323",2015-02-16,233.843002
"324",2015-02-17,243.610001
"325",2015-02-18,236.326004
"326",2015-02-19,240.283005
"327",2015-02-20,243.779007
"328",2015-02-21,244.533997
"329",2015-02-22,235.977005
"330",2015-02-23,238.891998
"331",2015-02-24,238.735001
"332",2015-02-25,237.470001
"333",2015-02-26,236.425995
"334",2015-02-27,253.828003
"335",2015-02-28,254.263
"336",2015-03-01,260.201996
"337",2015-03-02,275.670013
"338",2015-03-03,281.701996
"339",2015-03-04,273.09201
"340",2015-03-05,276.178009
"341",2015-03-06,272.722992
"342",2015-03-07,276.260986
"343",2015-03-08,274.354004
"344",2015-03-09,289.606995
"345",2015-03-10,291.76001
"346",2015-03-11,296.378998
"347",2015-03-12,294.354004
"348",2015-03-13,285.337006
"349",2015-03-14,281.88501
"350",2015-03-15,286.393005
"351",2015-03-16,290.592987
"352",2015-03-17,285.505005
"353",2015-03-18,256.299011
"354",2015-03-19,260.928009
"355",2015-03-20,261.748993
"356",2015-03-21,260.024994
"357",2015-03-22,267.959991
"358",2015-03-23,266.73999
"359",2015-03-24,245.595001
"360",2015-03-25,246.197006
"361",2015-03-26,248.531998
"362",2015-03-27,247.029007
"363",2015-03-28,252.798004
"364",2015-03-29,242.712997
"365",2015-03-30,247.526001
"366",2015-03-31,244.223999
"367",2015-04-01,247.272003
"368",2015-04-02,253.005005
"369",2015-04-03,254.322006
"370",2015-04-04,253.697006
"371",2015-04-05,260.597992
"372",2015-04-06,255.492004
"373",2015-04-07,253.179993
"374",2015-04-08,245.022003
"375",2015-04-09,243.675995
"376",2015-04-10,236.072006
"377",2015-04-11,236.552002
"378",2015-04-12,236.153
"379",2015-04-13,224.587006
"380",2015-04-14,219.158997
"381",2015-04-15,223.832993
"382",2015-04-16,228.572998
"383",2015-04-17,222.882004
"384",2015-04-18,223.356003
"385",2015-04-19,222.600006
"386",2015-04-20,224.626007
"387",2015-04-21,235.268997
"388",2015-04-22,234.175995
"389",2015-04-23,236.462006
"390",2015-04-24,231.268005
"391",2015-04-25,226.389999
"392",2015-04-26,219.429993
"393",2015-04-27,229.285995
"394",2015-04-28,225.854996
"395",2015-04-29,225.807999
"396",2015-04-30,236.145004
"397",2015-05-01,232.078995
"398",2015-05-02,234.929993
"399",2015-05-03,240.358002
"400",2015-05-04,239.018005
"401",2015-05-05,236.121002
"402",2015-05-06,229.781998
"403",2015-05-07,237.334
"404",2015-05-08,243.863007
"405",2015-05-09,241.832001
"406",2015-05-10,240.296005
"407",2015-05-11,242.158005
"408",2015-05-12,241.112
"409",2015-05-13,236.376999
"410",2015-05-14,236.929001
"411",2015-05-15,237.604996
"412",2015-05-16,236.153
"413",2015-05-17,236.802002
"414",2015-05-18,233.128006
"415",2015-05-19,231.947006
"416",2015-05-20,234.018005
"417",2015-05-21,235.343994
"418",2015-05-22,240.348007
"419",2015-05-23,238.871994
"420",2015-05-24,240.953003
"421",2015-05-25,237.110001
"422",2015-05-26,237.115997
"423",2015-05-27,237.283005
"424",2015-05-28,237.408005
"425",2015-05-29,237.095993
"426",2015-05-30,233.345001
"427",2015-05-31,230.190002
"428",2015-06-01,222.925995
"429",2015-06-02,225.802994
"430",2015-06-03,225.873993
"431",2015-06-04,224.324005
"432",2015-06-05,224.951996
"433",2015-06-06,225.619003
"434",2015-06-07,222.880997
"435",2015-06-08,228.488998
"436",2015-06-09,229.048004
"437",2015-06-10,228.802994
"438",2015-06-11,229.705002
"439",2015-06-12,229.981995
"440",2015-06-13,232.401993
"441",2015-06-14,233.542999
"442",2015-06-15,236.822998
"443",2015-06-16,250.895004
"444",2015-06-17,249.283997
"445",2015-06-18,249.007004
"446",2015-06-19,244.606003
"447",2015-06-20,245.212006
"448",2015-06-21,243.944
"449",2015-06-22,246.990005
"450",2015-06-23,244.296005
"451",2015-06-24,240.514999
"452",2015-06-25,242.798996
"453",2015-06-26,243.593994
"454",2015-06-27,250.990005
"455",2015-06-28,249.011002
"456",2015-06-29,257.063995
"457",2015-06-30,263.071991
"458",2015-07-01,258.621002
"459",2015-07-02,255.412003
"460",2015-07-03,256.335999
"461",2015-07-04,260.885986
"462",2015-07-05,271.912994
"463",2015-07-06,269.029999
"464",2015-07-07,266.207001
"465",2015-07-08,270.785004
"466",2015-07-09,269.227997
"467",2015-07-10,284.894012
"468",2015-07-11,293.11499
"469",2015-07-12,310.867004
"470",2015-07-13,292.053986
"471",2015-07-14,287.463989
"472",2015-07-15,285.82901
"473",2015-07-16,278.088989
"474",2015-07-17,279.471985
"475",2015-07-18,274.901001
"476",2015-07-19,273.614014
"477",2015-07-20,278.980988
"478",2015-07-21,275.833008
"479",2015-07-22,277.221985
"480",2015-07-23,276.049011
"481",2015-07-24,288.278015
"482",2015-07-25,288.696991
"483",2015-07-26,292.686005
"484",2015-07-27,293.623993
"485",2015-07-28,294.427002
"486",2015-07-29,289.589996
"487",2015-07-30,287.721985
"488",2015-07-31,284.649994
"489",2015-08-01,281.601013
"490",2015-08-02,282.614014
"491",2015-08-03,281.22699
"492",2015-08-04,285.217987
"493",2015-08-05,281.881989
"494",2015-08-06,278.576996
"495",2015-08-07,279.584991
"496",2015-08-08,260.997009
"497",2015-08-09,265.083008
"498",2015-08-10,264.470001
"499",2015-08-11,270.385986
"500",2015-08-12,266.376007
"501",2015-08-13,264.079987
"502",2015-08-14,265.679993
"503",2015-08-15,261.550995
"504",2015-08-16,258.506989
"505",2015-08-17,257.976013
"506",2015-08-18,211.078995
"507",2015-08-19,226.684006
"508",2015-08-20,235.350006
"509",2015-08-21,232.569
"510",2015-08-22,230.389999
"511",2015-08-23,228.169006
"512",2015-08-24,210.494995
"513",2015-08-25,221.608994
"514",2015-08-26,225.830994
"515",2015-08-27,224.768997
"516",2015-08-28,231.395996
"517",2015-08-29,229.779999
"518",2015-08-30,228.761002
"519",2015-08-31,230.056
"520",2015-09-01,228.121002
"521",2015-09-02,229.283997
"522",2015-09-03,227.182999
"523",2015-09-04,230.298004
"524",2015-09-05,235.018997
"525",2015-09-06,239.839996
"526",2015-09-07,239.847
"527",2015-09-08,243.606995
"528",2015-09-09,238.167999
"529",2015-09-10,238.477005
"530",2015-09-11,240.106995
"531",2015-09-12,235.229004
"532",2015-09-13,230.511993
"533",2015-09-14,230.643997
"534",2015-09-15,230.304001
"535",2015-09-16,229.091003
"536",2015-09-17,229.809998
